NR;ID;FEED;TREN;VA;KA;VB;KB;left;right;NV;NK;Dwustronna;TYP;Koment
37;26;1;0;0,1,3,4;[(1,4),(4,1),(3,0),(3,4),(0,1)];0,1,3,4;[(0,1),(1,0),(4,1),(3,4),(3,0)];1,1;4,0;4;4;1;3;trójki + podwójna
38;800;1;0;0,1,3,4;[(0,4),(4,0),(0,3),(1,4),(1,3)];0,1,3,4;[(0,3),(3,0),(3,4),(1,0),(1,4)];3,4;4,0;4;4;1;1;trójki + podwójna
39;28;1;0;0,1,3,4;[(0,1),(3,4),(4,1)];0,1,3,4;[(0,4),(1,0),(3,4)];3,1;0,0;4;3;0;3;trójki
40;302;1;0;0,1,3,4;[(0,1),(1,4),(4,0),(0,3)];0,1,3,4;[(0,1),(1,4),(4,0),(1,3)];1,4;4,0;4;4;0;2;3+1
41;30;1;0;0,3,4,7;[(0,3),(7,4),(4,3)];1,2,3,4;[(3,4),(4,1),(2,1)];0,2;7,3;4;3;0;3;trójki --nie kwadratowa
42;32;1;0;0,4,5,7;[(0,4),(7,5),(4,5)];0,1,3,4;[(1,3),(4,0),(0,3)];0,4;7,1;4;3;0;3;trójki --nie kwadratowa
43;33;1;0;0,1,3,4;[(0,1),(1,4),(4,3),(3,0),(3,1)];0,1,3,4;[(0,1),(1,4),(4,3),(3,0),(4,0)];0,3;4,1;4;5;0;3;pi¹tka
44;34;1;0;0,1,3,4;[(0,1),(1,4),(4,3),(3,0),(3,1)];0,1,3,4;[(0,3),(3,4),(4,1),(1,0),(1,3)];0,0;4,4;4;5;0;3;pi¹tka
45;35;1;0;0,1,3,4;[(0,1),(1,4),(4,3),(3,0),(3,1)];0,3,4,6;[(0,3),(3,6),(6,4),(4,0),(3,4)];0,6;4,0;4;5;0;3;pi¹tka --nie kwadratowa
46;36;1;0;0,1,3,4;[(0,1),(1,4),(4,3),(3,0),(3,1)];1,2,3,4;[(1,3),(3,4),(4,2),(2,1),(4,1)];1,1;4,3;4;5;0;1;pi¹tka --nie kwadratowa
47;40;1;0;0,1,3,4,5;[(1,3),(4,0),(4,1),(1,5),(5,4)];1,2,4,5,8;[(4,1),(4,8),(1,5),(5,4),(5,2)];1,4;4,5;5;5;0;3;
48;400;1;0;0,1,3,4,5;[(1,3),(4,0),(4,1),(1,5),(5,4)];1,3,4,6,7;[(6,7),(6,4),(4,3),(3,6),(3,1)];0,1;3,7;5;5;0;3;
49;44;1;0;0,1,2,3,4,6;[(6,3),(0,3),(0,4),(4,0),(4,1),(1,2)];0,1,2,3,4,5;[(0,3),(3,0),(0,4),(3,1),(1,2),(5,4)];0,0;4,3;6;6;1;3;
