IDX,NR,EXPERIMENTAL,FEED,LEFT_ANS,RIGHT_ANS,LEFT_ACC,RIGHT_ACC,ACC,LEFT_RT,RIGHT_RT,RT,VA,KA,VB,KB,left,right,NV,NK,Dwustronna,TYP,Koment
1,5,train,1,0,1,False,False,False,1.721006799954921,2.8375993999652565,2.8375993999652565,"[0, 1, 3]","[(3, 0), (0, 1)]","[0, 1, 4]","[(0, 1), (1, 4)]","[0, 1]","[1, 4]",3,2,0,1,a
2,6,train,1,1,3,False,False,False,1.3533390001393855,2.0700081000104547,2.0700081000104547,"[0, 1, 3]","[(3, 0), (0, 1), (1, 0)]","[1, 3, 4]","[(4, 1), (1, 0), (0, 1)]","[3, 4]","[1, 0]",3,2,1,1,
3,2,train,1,1,3,True,True,True,2.961248300038278,3.992163100047037,3.992163100047037,"[0, 3]","[(3, 0)]","[1, 3]","[(1, 3)]","[3, 1]","[0, 3]",2,1,0,1,
4,1,train,1,0,3,True,True,True,4.16553599992767,5.032721200026572,5.032721200026572,"[0, 3]","[(3, 0)]","[0, 3]","[(0, 3)]","[3, 0]","[0, 3]",2,1,0,1,
5,7,train,1,0,4,False,True,False,1.3863526999484748,3.0122736000921577,3.0122736000921577,"[0, 1, 3, 4]","[(3, 0), (0, 1), (1, 4)]","[0, 1, 3, 4]","[(0, 1), (1, 4), (4, 3)]","[0, 1]","[1, 4]",4,3,0,2,
6,3,train,1,,,False,False,False,,,,"[0, 4]","[(0, 4)]","[1, 3]","[(3, 1)]","[0, 3]","[4, 1]",2,1,0,1,
