ID,GENDER,AGE,DATE,ORDER,NR,EXPERIMENT,FEED,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_CORRECT,RIGHT_CORRECT,CORRECT,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 14:44,1,1,train,0,"[0, 3]","[(3, 0)]","[0, 3]","[(0, 3)]","[3, 0]","[0, 3]",2,1,,,0,3,True,True,True,0.9022653000429273,1.6179625000804663,1.6179625000804663
,M,,2020-12-30 14:44,2,2,train,0,"[0, 3]","[(3, 0)]","[1, 3]","[(1, 3)]","[3, 1]","[0, 3]",2,1,,,1,3,True,True,True,0.8756907000206411,1.4931242000311613,1.4931242000311613
,M,,2020-12-30 14:44,3,3,train,0,"[0, 4]","[(0, 4)]","[1, 3]","[(3, 1)]","[0, 3]","[4, 1]",2,1,,,3,1,True,True,True,0.5405124998651445,1.43992429994978,1.43992429994978
,M,,2020-12-30 14:44,4,4,train,0,"[0, 1, 3]","[(3, 0), (0, 1)]","[1, 3, 4]","[(4, 1), (1, 3)]","[3, 4]","[1, 3]",3,2,,,3,4,False,False,False,0.35944749996997416,1.092545999912545,1.092545999912545
,M,,2020-12-30 14:44,5,5,train,0,"[0, 1, 3]","[(3, 0), (0, 1)]","[0, 1, 4]","[(0, 1), (1, 4)]","[0, 1]","[1, 4]",3,2,,,0,4,False,True,False,0.799192100064829,1.347386799985543,1.347386799985543
,M,,2020-12-30 14:44,6,6,train,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 0)]","[0, 1, 4]","[(4, 1), (1, 0), (0, 1)]","[3, 4]","[1, 0]",3,2,,,0,4,False,False,False,0.4526481998618692,1.0200047998223454,1.0200047998223454
,M,,2020-12-30 14:44,7,7,train,0,"[0, 1, 2]","[(0, 1), (1, 2), (2, 1)]","[1, 4, 7]","[(1, 4), (4, 7), (7, 4)]","[0, 1]","[2, 7]",2,1,,,1,7,True,True,True,1.021784600103274,1.8886174999643117,1.8886174999643117
,M,,2020-12-30 14:44,8,8,train,0,"[0, 1, 3, 4]","[(3, 0), (0, 1), (1, 4)]","[0, 1, 3, 4]","[(0, 1), (1, 4), (4, 3)]","[0, 1]","[1, 4]",4,3,,,3,1,False,False,False,0.7806794999632984,1.4302238998934627,1.4302238998934627
