ID,GENDER,AGE,DATE,ORDER,NR,EXPERIMENT,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_CORRECT,RIGHT_CORRECT,CORRECT,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 15:54,1,1,exp,"[0, 3]","[(3, 0)]","[0, 3]","[(0, 3)]","[3, 0]","[0, 3]",2,1,,,0,3,True,True,True,0.8719136000145227,1.5217004001606256,1.5217004001606256
,M,,2020-12-30 15:54,2,1,exp,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 3, 4]","[(4, 3), (4, 0), (3, 0)]","[3, 4]","[1, 0]",3,3,,,0,4,False,False,False,1.3436002000235021,1.993959000101313,1.993959000101313
,M,,2020-12-30 15:54,3,2,exp,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 1, 3]","[(1, 3), (1, 0), (3, 0)]","[3, 1]","[0, 3]",3,3,,,3,0,False,False,False,0.9276424001436681,1.5605592001229525,1.5605592001229525
,M,,2020-12-30 15:54,4,3,exp,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (1, 3), (3, 0)]","[0, 3]","[3, 1]",3,3,,,1,3,False,False,False,0.42168139992281795,1.104764600051567,1.104764600051567
,M,,2020-12-30 15:54,5,4,exp,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[0, 1, 3]","[(1, 0), (1, 3), (3, 1), (0, 3)]","[3, 1]","[1, 3]",3,3,,,0,3,False,True,False,0.4779636000748724,1.0022587000858039,1.0022587000858039
,M,,2020-12-30 15:54,6,5,exp,"[0, 1, 3]","[(0, 1), (1, 0), (0, 3), (3, 0), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (3, 0), (1, 3), (3, 1)]","[3, 3]","[1, 0]",3,3,,,0,1,False,False,False,0.4326516999863088,0.9810685999691486,0.9810685999691486
,M,,2020-12-30 15:54,7,6,exp,"[0, 1, 2, 3, 4, 6]","[(6, 3), (0, 3), (0, 4), (4, 0), (4, 1), (1, 2)]","[0, 1, 2, 3, 4, 5]","[(0, 3), (3, 0), (0, 4), (3, 1), (1, 2), (5, 4)]","[0, 0]","[4, 3]",6,6,,,1,4,False,False,False,0.8577996999956667,1.874470799928531,1.874470799928531
