ID,GENDER,AGE,DATE,ORDER,NR,EXPERIMENT,FEED,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_CORRECT,RIGHT_CORRECT,CORRECT,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 14:12,1,1,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 3, 4]","[(4, 3), (4, 0), (3, 0)]","[3, 4]","[1, 0]",3,3,,,4,0,True,True,True,3.6766242999583483,4.392962999874726,4.392962999874726
,M,,2020-12-30 14:12,2,2,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 1, 3]","[(1, 3), (1, 0), (3, 0)]","[3, 1]","[0, 3]",3,3,,,3,1,False,False,False,1.2005127999000251,1.8169112000614405,1.8169112000614405
,M,,2020-12-30 14:12,3,3,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (1, 3), (3, 0)]","[0, 3]","[3, 1]",3,3,,,1,3,False,False,False,0.6654054999817163,1.3812459998298436,1.3812459998298436
,M,,2020-12-30 14:12,4,4,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[0, 1, 3]","[(1, 0), (1, 3), (3, 1), (0, 3)]","[3, 1]","[1, 3]",3,3,,,3,1,False,False,False,0.3674105000682175,0.9342838001903147,0.9342838001903147
,M,,2020-12-30 14:12,5,5,exp,0,"[0, 1, 3]","[(0, 1), (1, 0), (0, 3), (3, 0), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (3, 0), (1, 3), (3, 1)]","[3, 3]","[1, 0]",3,3,,,0,1,False,False,False,0.31891460018232465,1.1856261000502855,1.1856261000502855
,M,,2020-12-30 14:12,6,6,exp,0,"[0, 1, 2, 3, 4, 6]","[(6, 3), (0, 3), (0, 4), (4, 0), (4, 1), (1, 2)]","[0, 1, 2, 3, 4, 5]","[(0, 3), (3, 0), (0, 4), (3, 1), (1, 2), (5, 4)]","[0, 0]","[4, 3]",6,6,,,3,2,False,False,False,0.49464719998650253,1.4777375000994653,1.4777375000994653
