ID,SEX,AGE,DATE,ORDER,NR,EXPERIMENT,FEED,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_ACC,RIGHT_ACC,ACC,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 10:58,1,1,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 3, 4]","[(4, 3), (4, 0), (3, 0)]","[3, 4]","[1, 0]",3,3,,,4,3,True,False,False,0.9751174999400973,2.2921592998318374,2.2921592998318374
,M,,2020-12-30 10:58,2,2,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 1, 3]","[(1, 3), (1, 0), (3, 0)]","[3, 1]","[0, 3]",3,3,,,1,3,True,True,True,1.5555371998343617,2.6718059999402612,2.6718059999402612
