ID,GENDER,AGE,DATE,ORDER,NR,EXPERIMENT,FEED,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_CORRECT,RIGHT_CORRECT,CORRECT,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 14:29,1,1,exp,0,"[0, 3]","[(3, 0)]","[0, 3]","[(0, 3)]","[3, 0]","[0, 3]",2,1,,,0,3,True,True,True,3.1221851999871433,3.8555230998899788,3.8555230998899788
,M,,2020-12-30 14:29,2,1,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 3, 4]","[(4, 3), (4, 0), (3, 0)]","[3, 4]","[1, 0]",3,3,,,4,3,True,False,False,0.9533799001947045,1.5029443001840264,1.5029443001840264
,M,,2020-12-30 14:29,3,2,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 1, 3]","[(1, 3), (1, 0), (3, 0)]","[3, 1]","[0, 3]",3,3,,,1,3,True,True,True,0.7421499001793563,1.3247760001104325,1.3247760001104325
,M,,2020-12-30 14:29,4,3,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (1, 3), (3, 0)]","[0, 3]","[3, 1]",3,3,,,1,0,False,False,False,0.8576834998093545,1.4076035998295993,1.4076035998295993
,M,,2020-12-30 14:29,5,4,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[0, 1, 3]","[(1, 0), (1, 3), (3, 1), (0, 3)]","[3, 1]","[1, 3]",3,3,,,3,0,False,False,False,0.7486370999831706,1.5819380001630634,1.5819380001630634
,M,,2020-12-30 14:29,6,5,exp,0,"[0, 1, 3]","[(0, 1), (1, 0), (0, 3), (3, 0), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (3, 0), (1, 3), (3, 1)]","[3, 3]","[1, 0]",3,3,,,0,1,False,False,False,0.48310380009934306,1.0158969999756664,1.0158969999756664
,M,,2020-12-30 14:29,7,6,exp,0,"[0, 1, 2, 3, 4, 6]","[(6, 3), (0, 3), (0, 4), (4, 0), (4, 1), (1, 2)]","[0, 1, 2, 3, 4, 5]","[(0, 3), (3, 0), (0, 4), (3, 1), (1, 2), (5, 4)]","[0, 0]","[4, 3]",6,6,,,0,3,True,True,True,0.8811482999008149,1.7324566000606865,1.7324566000606865
