ID,GENDER,AGE,DATE,ORDER,NR,EXPERIMENT,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_CORRECT,RIGHT_CORRECT,CORRECT,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 21:12,1,1,exp,"[0, 3]","[(3, 0)]","[2, 1]","[(2, 1)]","[2, 3]","[1, 0]",2,1,,,3,0,True,True,True,1.4682539999485016,2.0287399000953883,2.0287399000953883
,M,,2020-12-30 21:12,2,1,exp,"[2, 1, 5]","[(5, 2), (2, 1), (5, 1)]","[6, 3, 4]","[(4, 3), (4, 6), (3, 6)]","[4, 5]","[6, 1]",3,3,,,5,1,True,True,True,1.5777537000831217,2.7274307999759912,2.7274307999759912
,M,,2020-12-30 21:12,3,2,exp,"[6, 3, 7]","[(7, 6), (6, 3), (7, 3)]","[2, 5, 1]","[(5, 1), (5, 2), (1, 2)]","[5, 7]","[1, 6]",3,3,,,7,3,True,False,False,1.0800111000426114,1.563869200181216,1.563869200181216
,M,,2020-12-30 21:12,4,3,exp,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[6, 3, 7]","[(6, 3), (3, 6), (3, 7), (7, 6)]","[7, 0]","[3, 3]",3,3,,,0,3,True,True,True,0.6542837999295443,1.1057766999583691,1.1057766999583691
