ID,SEX,AGE,DATE,ORDER,NR,EXPERIMENT,FEED,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_ACC,RIGHT_ACC,ACC,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 11:09,1,1,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 3, 4]","[(4, 3), (4, 0), (3, 0)]","[3, 4]","[1, 0]",3,3,,,4,0,True,True,True,4.004642499843612,4.637149799847975,4.637149799847975
,M,,2020-12-30 11:09,2,2,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 1, 3]","[(1, 3), (1, 0), (3, 0)]","[1, 3]","[3, 0]",3,3,,,3,1,True,False,False,1.6936061000451446,3.62656780006364,3.62656780006364
,M,,2020-12-30 11:09,3,3,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (1, 3), (3, 0)]","[0, 3]","[3, 1]",3,3,,,3,0,True,False,False,1.4383306000381708,1.9878549000713974,1.9878549000713974
,M,,2020-12-30 11:09,4,4,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[0, 1, 3]","[(1, 0), (1, 3), (3, 1), (0, 3)]","[1, 3]","[3, 1]",3,3,,,3,1,True,True,True,1.267895800061524,1.8845582001376897,1.8845582001376897
,M,,2020-12-30 11:09,5,5,exp,0,"[0, 1, 3]","[(0, 1), (1, 0), (0, 3), (3, 0), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (3, 0), (1, 3), (3, 1)]","[3, 3]","[0, 1]",3,3,,,3,0,True,False,False,2.2177915000356734,2.7505445000715554,2.7505445000715554
