ID,GENDER,AGE,DATE,ORDER,NR,EXPERIMENT,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_CORRECT,RIGHT_CORRECT,CORRECT,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 15:06,1,1,train,"[0, 3]","[(3, 0)]","[0, 3]","[(0, 3)]","[3, 0]","[0, 3]",2,1,,,0,3,True,True,True,1.2017133000772446,1.8355297001544386,1.8355297001544386
,M,,2020-12-30 15:06,2,2,train,"[0, 3]","[(3, 0)]","[1, 3]","[(1, 3)]","[3, 1]","[0, 3]",2,1,,,3,1,False,False,False,1.4289456999395043,0.7782899001613259,1.4289456999395043
