ID,GENDER,AGE,DATE,ORDER,NR,EXPERIMENT,FEED,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_CORRECT,RIGHT_CORRECT,CORRECT,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 14:39,1,1,train,0,"[0, 3]","[(3, 0)]","[0, 3]","[(0, 3)]","[3, 0]","[0, 3]",2,1,,,0,3,True,True,True,1.4262041000183672,2.1927712000906467,2.1927712000906467
,M,,2020-12-30 14:39,2,2,train,0,"[0, 3]","[(3, 0)]","[1, 3]","[(1, 3)]","[3, 1]","[0, 3]",2,1,,,1,3,True,True,True,0.6707591998856515,1.4044007998891175,1.4044007998891175
,M,,2020-12-30 14:39,3,3,train,0,"[0, 4]","[(0, 4)]","[1, 3]","[(3, 1)]","[0, 3]","[4, 1]",2,1,,,3,1,True,True,True,0.5882202999200672,1.221021099947393,1.221021099947393
,M,,2020-12-30 14:39,4,4,train,0,"[0, 1, 3]","[(3, 0), (0, 1)]","[1, 3, 4]","[(4, 1), (1, 3)]","[3, 4]","[1, 3]",3,2,,,4,1,True,False,False,0.7372997999191284,1.4365008000750095,1.4365008000750095
,M,,2020-12-30 14:39,5,5,train,0,"[0, 1, 3]","[(3, 0), (0, 1)]","[0, 1, 4]","[(0, 1), (1, 4)]","[0, 1]","[1, 4]",3,2,,,4,0,False,False,False,0.3155544998589903,1.3145621998701245,1.3145621998701245
,M,,2020-12-30 14:39,6,6,train,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 0)]","[0, 1, 4]","[(4, 1), (1, 0), (0, 1)]","[3, 4]","[1, 0]",3,2,,,0,4,False,False,False,0.32531310012564063,0.9922273000702262,0.9922273000702262
,M,,2020-12-30 14:39,7,7,train,0,"[0, 1, 2]","[(0, 1), (1, 2), (2, 1)]","[1, 4, 7]","[(1, 4), (4, 7), (7, 4)]","[0, 1]","[2, 7]",2,1,,,1,7,True,True,True,0.4262125000823289,1.026352799963206,1.026352799963206
,M,,2020-12-30 14:39,8,8,train,0,"[0, 1, 3, 4]","[(3, 0), (0, 1), (1, 4)]","[0, 1, 3, 4]","[(0, 1), (1, 4), (4, 3)]","[0, 1]","[1, 4]",4,3,,,0,4,False,True,False,0.3732837000861764,2.0063603001181036,2.0063603001181036
