ID,SEX,AGE,DATE,ORDER,NR,EXPERIMENT,FEED,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_ACC,RIGHT_ACC,ACC,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 11:00,1,1,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 3, 4]","[(4, 3), (4, 0), (3, 0)]","[3, 4]","[1, 0]",3,3,,,4,0,True,True,True,1.2484063000883907,2.5310318002011627,2.5310318002011627
,M,,2020-12-30 11:00,2,2,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 1, 3]","[(1, 3), (1, 0), (3, 0)]","[3, 1]","[0, 3]",3,3,,,0,1,False,False,False,0.6782837000209838,1.7062546000815928,1.7062546000815928
,M,,2020-12-30 11:00,3,3,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (1, 3), (3, 0)]","[0, 3]","[3, 1]",3,3,,,3,1,True,True,True,0.8453488999512047,2.178017499856651,2.178017499856651
,M,,2020-12-30 11:00,4,4,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[0, 1, 3]","[(1, 0), (1, 3), (3, 1), (0, 3)]","[3, 1]","[1, 3]",3,3,,,0,1,False,False,False,2.3415382001549006,0.8927937999833375,2.3415382001549006
,M,,2020-12-30 11:00,5,5,exp,0,"[0, 1, 3]","[(0, 1), (1, 0), (0, 3), (3, 0), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (3, 0), (1, 3), (3, 1)]","[3, 3]","[1, 0]",3,3,,,0,3,False,False,False,2.2203575999010354,0.35453310003504157,2.2203575999010354
,M,,2020-12-30 11:00,6,6,exp,0,"[0, 1, 3]","[(0, 1), (1, 0), (0, 3), (3, 0), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (0, 3), (3, 0), (1, 3)]","[0, 0]","[3, 1]",3,3,,,3,1,False,True,False,0.5395349999889731,2.471844899933785,2.471844899933785
,M,,2020-12-30 11:00,7,7,exp,0,"[0, 1, 3, 4]","[(3, 4), (4, 1), (1, 0)]","[0, 1, 3, 4]","[(3, 4), (0, 3), (1, 0)]","[0, 4]","[3, 1]",4,3,,,0,3,False,False,False,0.6052912001032382,2.0550411001313478,2.0550411001313478
