ID,GENDER,AGE,DATE,ORDER,NR,EXPERIMENT,FEED,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_CORRECT,RIGHT_CORRECT,CORRECT,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 14:43,1,1,train,0,"[0, 3]","[(3, 0)]","[0, 3]","[(0, 3)]","[3, 0]","[0, 3]",2,1,,,0,3,True,True,True,0.8022419000044465,1.351208799984306,1.351208799984306
,M,,2020-12-30 14:43,2,2,train,0,"[0, 3]","[(3, 0)]","[1, 3]","[(1, 3)]","[3, 1]","[0, 3]",2,1,,,1,3,True,True,True,0.7288833998609334,1.5122930998913944,1.5122930998913944
,M,,2020-12-30 14:43,3,3,train,0,"[0, 4]","[(0, 4)]","[1, 3]","[(3, 1)]","[0, 3]","[4, 1]",2,1,,,3,1,True,True,True,0.4612543999683112,1.176925300154835,1.176925300154835
,M,,2020-12-30 14:43,4,4,train,0,"[0, 1, 3]","[(3, 0), (0, 1)]","[1, 3, 4]","[(4, 1), (1, 3)]","[3, 4]","[1, 3]",3,2,,,4,3,True,True,True,1.3287177998572588,1.8784769999329,1.8784769999329
