ID,SEX,AGE,DATE,ORDER,NR,EXPERIMENT,FEED,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_ACC,RIGHT_ACC,ACC,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 11:07,1,1,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 3, 4]","[(4, 3), (4, 0), (3, 0)]","[4, 3]","[0, 1]",3,3,,,3,1,True,True,True,0.8657350998837501,1.6652057999745011,1.6652057999745011
,M,,2020-12-30 11:07,2,2,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (3, 1)]","[0, 1, 3]","[(1, 3), (1, 0), (3, 0)]","[1, 3]","[3, 0]",3,3,,,3,0,True,True,True,0.9653731000144035,1.6481230999343097,1.6481230999343097
,M,,2020-12-30 11:07,3,3,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (1, 3), (3, 0)]","[0, 3]","[3, 1]",3,3,,,3,1,True,True,True,0.978415299905464,1.7118629000615329,1.7118629000615329
,M,,2020-12-30 11:07,4,4,exp,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 3), (3, 1)]","[0, 1, 3]","[(1, 0), (1, 3), (3, 1), (0, 3)]","[1, 3]","[3, 1]",3,3,,,3,0,True,False,False,0.8216439997777343,1.488316799979657,1.488316799979657
,M,,2020-12-30 11:07,5,5,exp,0,"[0, 1, 3]","[(0, 1), (1, 0), (0, 3), (3, 0), (3, 1)]","[0, 1, 3]","[(0, 1), (1, 0), (3, 0), (1, 3), (3, 1)]","[3, 3]","[1, 0]",3,3,,,3,1,True,False,False,0.6497516999952495,1.1979751999024302,1.1979751999024302
,M,,2020-12-30 11:07,6,6,exp,0,"[0, 1, 2, 3, 4, 6]","[(6, 3), (0, 3), (0, 4), (4, 0), (4, 1), (1, 2)]","[0, 1, 2, 3, 4, 5]","[(0, 3), (3, 0), (0, 4), (3, 1), (1, 2), (5, 4)]","[0, 0]","[4, 3]",6,6,,,5,,False,False,False,5.620540600037202,,
