ID,GENDER,AGE,DATE,ORDER,NR,EXPERIMENT,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_CORRECT,RIGHT_CORRECT,CORRECT,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 15:55,1,1,train,"[0, 3]","[(3, 0)]","[0, 3]","[(0, 3)]","[3, 0]","[0, 3]",2,1,,,0,3,True,True,True,1.3718537997920066,1.8966150998603553,1.8966150998603553
,M,,2020-12-30 15:55,2,2,train,"[0, 3]","[(3, 0)]","[1, 3]","[(1, 3)]","[3, 1]","[0, 3]",2,1,,,,,False,False,False,,,
,M,,2020-12-30 15:55,3,3,train,"[0, 4]","[(0, 4)]","[1, 3]","[(3, 1)]","[0, 3]","[4, 1]",2,1,,,3,1,True,True,True,2.0404479999560863,3.5571365000214428,3.5571365000214428
,M,,2020-12-30 15:55,4,4,train,"[0, 1, 3]","[(3, 0), (0, 1)]","[1, 3, 4]","[(4, 1), (1, 3)]","[3, 4]","[1, 3]",3,2,,,4,3,True,True,True,2.4921495001763105,3.1420959001407027,3.1420959001407027
,M,,2020-12-30 15:55,5,5,train,"[0, 1, 3]","[(3, 0), (0, 1)]","[0, 1, 4]","[(0, 1), (1, 4)]","[0, 1]","[1, 4]",3,2,,,0,1,False,False,False,3.500981100136414,4.717501200037077,4.717501200037077
,M,,2020-12-30 15:55,6,6,train,"[0, 1, 3]","[(3, 0), (0, 1), (1, 0)]","[0, 1, 4]","[(4, 1), (1, 0), (0, 1)]","[3, 4]","[1, 0]",3,2,,,4,0,True,True,True,3.5621557000558823,4.878135100007057,4.878135100007057
,M,,2020-12-30 15:55,7,7,train,"[0, 1, 2]","[(0, 1), (1, 2), (2, 1)]","[1, 4, 7]","[(1, 4), (4, 7), (7, 4)]","[0, 1]","[2, 7]",2,1,,,7,1,False,False,False,1.2445711998734623,1.7954377999994904,1.7954377999994904
,M,,2020-12-30 15:55,8,8,train,"[0, 1, 3, 4]","[(3, 0), (0, 1), (1, 4)]","[0, 1, 3, 4]","[(0, 1), (1, 4), (4, 3)]","[0, 1]","[1, 4]",4,3,,,1,4,True,True,True,1.3392012000549585,1.861447500064969,1.861447500064969
,M,,2020-12-30 15:55,1,1,exp,"[0, 3]","[(3, 0)]","[0, 3]","[(0, 3)]","[3, 0]","[0, 3]",2,1,,,0,3,True,True,True,1.7368328999727964,2.536185499979183,2.536185499979183
