ID,GENDER,AGE,DATE,ORDER,NR,EXPERIMENT,FEED,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_CORRECT,RIGHT_CORRECT,CORRECT,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 14:34,1,2,train,0,"[0, 3]","[(3, 0)]","[1, 3]","[(1, 3)]","[3, 1]","[0, 3]",2,1,,,1,3,True,True,True,1.3311205001082271,2.030389500083402,2.030389500083402
,M,,2020-12-30 14:34,2,3,train,0,"[0, 4]","[(0, 4)]","[1, 3]","[(3, 1)]","[0, 3]","[4, 1]",2,1,,,3,1,True,True,True,0.6113035001326352,1.3950343001633883,1.3950343001633883
,M,,2020-12-30 14:34,3,4,train,0,"[0, 1, 3]","[(3, 0), (0, 1)]","[1, 3, 4]","[(4, 1), (1, 3)]","[3, 4]","[1, 3]",3,2,,,4,1,True,False,False,1.0781481999438256,1.9940859000198543,1.9940859000198543
,M,,2020-12-30 14:34,4,5,train,0,"[0, 1, 3]","[(3, 0), (0, 1)]","[0, 1, 4]","[(0, 1), (1, 4)]","[0, 1]","[1, 4]",3,2,,,0,4,False,True,False,1.2025600001215935,1.9363791001960635,1.9363791001960635
,M,,2020-12-30 14:34,5,6,train,0,"[0, 1, 3]","[(3, 0), (0, 1), (1, 0)]","[0, 1, 4]","[(4, 1), (1, 0), (0, 1)]","[3, 4]","[1, 0]",3,2,,,0,4,False,False,False,0.6963307000696659,1.3465228001587093,1.3465228001587093
,M,,2020-12-30 14:34,6,7,train,0,"[0, 1, 2]","[(0, 1), (1, 2), (2, 1)]","[1, 4, 7]","[(1, 4), (4, 7), (7, 4)]","[0, 1]","[2, 7]",2,1,,,1,7,True,True,True,0.4590598000213504,1.1594570998568088,1.1594570998568088
,M,,2020-12-30 14:34,7,8,train,0,"[0, 1, 3, 4]","[(3, 0), (0, 1), (1, 4)]","[0, 1, 3, 4]","[(0, 1), (1, 4), (4, 3)]","[0, 1]","[1, 4]",4,3,,,0,3,False,False,False,0.6762626999989152,1.199078100034967,1.199078100034967
