ID,GENDER,AGE,DATE,ORDER,NR,EXPERIMENT,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_CORRECT,RIGHT_CORRECT,CORRECT,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 20:18,1,1,exp,"[6, 7]","[(7, 6)]","[0, 1]","[(0, 1)]","[0, 7]","[1, 6]",2,1,,,7,6,True,True,True,2.147025000071153,4.523987999884412,4.523987999884412
,M,,2020-12-30 20:18,2,1,exp,"[0, 3, 1]","[(1, 0), (0, 3), (1, 3)]","[0, 1, 4]","[(4, 1), (4, 0), (1, 0)]","[1, 4]","[3, 0]",3,3,,,4,0,True,True,True,5.516902900068089,6.199866999872029,6.199866999872029
,M,,2020-12-30 20:18,3,2,exp,"[6, 7, 3]","[(3, 6), (6, 7), (3, 7)]","[0, 1, 3]","[(1, 3), (1, 0), (3, 0)]","[3, 1]","[6, 3]",3,3,,,1,3,True,True,True,4.896704700076953,6.596646200167015,6.596646200167015
,M,,2020-12-30 20:18,4,3,exp,"[2, 1, 5]","[(5, 2), (2, 1), (1, 5), (5, 1)]","[2, 1, 5]","[(2, 1), (1, 2), (1, 5), (5, 2)]","[2, 5]","[5, 1]",3,3,,,5,1,True,True,True,8.237916899845004,10.187443299917504,10.187443299917504
,M,,2020-12-30 20:18,5,4,exp,"[2, 5, 1]","[(1, 2), (2, 5), (5, 1), (1, 5)]","[0, 3, 1]","[(3, 0), (3, 1), (1, 3), (0, 1)]","[3, 1]","[1, 5]",3,3,,,1,5,True,True,True,6.530267900088802,7.730598900001496,7.730598900001496
,M,,2020-12-30 20:18,6,5,exp,"[6, 7, 3]","[(6, 7), (7, 6), (6, 3), (3, 6), (3, 7)]","[6, 7, 3]","[(6, 7), (7, 6), (3, 6), (7, 3), (3, 7)]","[3, 3]","[6, 7]",3,3,,,3,7,True,True,True,6.916301100049168,7.515985100064427,7.515985100064427
,M,,2020-12-30 20:18,7,6,exp,"[0, 1, 2, 3, 4, 6]","[(6, 3), (0, 3), (0, 4), (4, 0), (4, 1), (1, 2)]","[2, 1, 0, 5, 4, 3]","[(2, 5), (5, 2), (2, 4), (5, 1), (1, 0), (3, 4)]","[2, 0]","[5, 4]",6,6,,,,,False,False,False,,,
