ID,GENDER,AGE,DATE,ORDER,NR,EXPERIMENT,FEED,VA,EA,VB,EB,left,right,NV,NE,Type,Crossed_edges,LEFT_ANS,RIGHT_ANS,LEFT_CORRECT,RIGHT_CORRECT,CORRECT,LEFT_RT,RIGHT_RT,RT
,M,,2020-12-30 14:46,1,1,train,1,"[0, 3]","[(3, 0)]","[0, 3]","[(0, 3)]","[3, 0]","[0, 3]",2,1,,,0,3,True,True,True,1.0573799998965114,1.7089046000037342,1.7089046000037342
,M,,2020-12-30 14:46,2,2,train,1,"[0, 3]","[(3, 0)]","[1, 3]","[(1, 3)]","[3, 1]","[0, 3]",2,1,,,1,3,True,True,True,1.2404952000360936,0.6244200998917222,1.2404952000360936
,M,,2020-12-30 14:46,3,3,train,1,"[0, 4]","[(0, 4)]","[1, 3]","[(3, 1)]","[0, 3]","[4, 1]",2,1,,,1,3,False,False,False,2.706256499979645,3.373641800135374,3.373641800135374
,M,,2020-12-30 14:46,4,4,train,1,"[0, 1, 3]","[(3, 0), (0, 1)]","[1, 3, 4]","[(4, 1), (1, 3)]","[3, 4]","[1, 3]",3,2,,,3,1,False,False,False,0.41130660008639097,1.2106913002207875,1.2106913002207875
