ID;GENDER;AGE;DATE;ORDER;NR;EXPERIMENT;Nodes_A;Edges_A;Nodes_B;Edges_B;Left_button_targets;Right_button_targets;Number_of_nodes;Number_of_edges;Type;Crossed_edges;LEFT_ANS;RIGHT_ANS;LEFT_CORRECT;RIGHT_CORRECT;CORRECT;LEFT_RT;RIGHT_RT;RT
;M;;2021-02-08 13:03;1;1;train;[0, 3];[(3, 0)];[0, 3];[(0, 3)];[3, 0];[0, 3];2;1;;;0;3;True;True;True;0.8399740000022575;1.3415397999924608;1.342
;M;;2021-02-08 13:03;2;2;train;[0, 3];[(3, 0)];[1, 3];[(1, 3)];[3, 1];[0, 3];2;1;;;1;3;True;True;True;1.1642352999770083;1.6292149999644607;1.629
